"the_geom","SEGMENTID","OFT","ONSTREETNAME","FROMSTREETNAME","TOSTREETNAME","BOROUGH_CODE","WORK_START_DATE","WORK_END_DATE","UNIQUEID","PURPOSE"
"MULTILINESTRING ((-74.24920269989804 40.51380494469402, -74.24856301070619 40.51309298400945))","137","534860516860552317","JOHNSON AVENUE","ARTHUR KILL ROAD","UTAH STREET","S","08/09/2026 12:00:00 AM","09/08/2026 12:00:00 AM","96caaaffe2bab4b2214ab495cbec62cd8d9e0a8c5eef7b568bda0fd35a360a09","TRIBUTARY INSTALL - GAS"
"MULTILINESTRING ((-74.16526003520914 40.62279965293903, -74.16759585656457 40.623124601708234))","5,443","536615548500556197","LISK AVENUE","SOUTH AVENUE","WOLKOFF LANE","S","08/26/2026 12:00:00 AM","09/30/2026 12:00:00 AM","d650526dec93ba6b4bda480de8743a4a91443f2e58ed9883cf238767e0df9a00","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.16407320854853 40.622635404730424, -74.16526003520914 40.62279965293903))","5,445","536615547436556197","LISK AVENUE","SELVIN LOOP","WOLKOFF LANE","S","08/26/2026 12:00:00 AM","09/30/2026 12:00:00 AM","088d617f3d25cc87a84cdaa6d90ba5e7b72d7454af53f9f33efff4d51f09d704","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.12838117424535 40.61264082452419, -74.12811936100947 40.6105953913737))","9,574","523250544140553000","CLERMONT PLACE","PURDY AVENUE","VICTORY BOULEVARD","S","08/19/2026 12:00:00 AM","09/30/2026 12:00:00 AM","2abf0c160eba928f24bce90802581c50a6ee106cfa6c4ee0c0b59e1d488aef2f","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.12780536222559 40.61268600602204, -74.1275346553492 40.610645309199086))","9,576","529425544140553000","GANSEVOORT BOULEVARD","PURDY AVENUE","VICTORY BOULEVARD","S","08/26/2026 12:00:00 AM","09/30/2026 12:00:00 AM","a2403dacc83ca7ea54a37c124b8408e809d1c651b8a06ba6bc6d5735b7615d40","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.12725006989241 40.62136935307578, -74.12915106510899 40.62122047518534))","9,611","523960514850540160","COLLEGE AVENUE","ALABAMA PLACE","NEW YORK PLACE","S","08/05/2026 12:00:00 AM","09/30/2026 12:00:00 AM","e75dbe5ab1e0ad9407f1e73e89d14edfbc1a89b7d798a2a3dacf6d382e926a52","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.12439633495657 40.61589960304088, -74.12433068460652 40.6150401791569))","9,711","544657525290525908","RAYMOND AVENUE","CROWELL AVENUE","DEAD END","S","08/26/2026 12:00:00 AM","09/29/2026 12:00:00 AM","b184cff879b2b53fcf764074dc9186aed91ddda270fd6021adce449aca6ff8c6","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.12439633495657 40.61589960304088, -74.12433068460652 40.6150401791569))","9,711","544657525290525908","RAYMOND AVENUE","CROWELL AVENUE","DEAD END","S","08/26/2026 12:00:00 AM","09/30/2026 12:00:00 AM","1c642a3ccd0ee5b220a81c848a81adad4cb8d8d63f3d0b5184bcdcd6bbb19aef","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.12563427642162 40.62149306982697, -74.12610252871397 40.62145600498893))","9,751","523960524005570197","COLLEGE AVENUE","COLORADO STREET","MARYLAND PLACE","S","08/05/2026 12:00:00 AM","09/30/2026 12:00:00 AM","400375fde14d47fc35a481b8e09b7b26316fd2d9e4e415704a03e1b025635c97","DOT IN-HOUSE PAVING"
"MULTILINESTRING ((-74.16208219755508 40.623253987772806, -74.1630374334156 40.623359970242554))","5,564","515595515770570162","AMADOR STREET","AMITY PLACE","KNOLLWOOD COURT","S","08/26/2026 12:00:00 AM","09/30/2026 12:00:00 AM","e0d8d7853e36b6996945bc910415f6cfeedad00860b2de9946dd2ccf6380eb31","DOT IN-HOUSE PAVING"
